return_id,order_id,return_date,return_reason
1,14,2025-07-07,Wrong item
2,23,2025-11-02,Size issue
3,26,2025-10-08,Wrong item
4,94,2025-10-04,Wrong item
5,98,2025-08-06,Changed mind
6,200,2025-04-15,Product not as expected
7,222,2025-05-20,Late delivery
8,255,2025-05-11,Late delivery
9,267,2025-11-21,Damaged product
10,289,2025-12-05,Changed mind
11,306,2025-11-01,Size issue
12,348,2025-02-13,Size issue
13,357,2025-04-10,Product not as expected
14,379,2025-11-27,Wrong item
15,380,2025-12-04,Size issue
16,382,2025-04-26,Product not as expected
17,387,2025-10-22,Damaged product
18,399,2025-11-04,Wrong item
19,411,2025-07-13,Product not as expected
20,441,2025-12-26,Damaged product
21,461,2025-09-06,Wrong item
22,470,2025-10-14,Product not as expected
23,502,2025-05-30,Changed mind
24,510,2025-08-04,Damaged product
25,524,2025-03-12,Wrong item
26,539,2025-10-24,Late delivery
27,543,2025-10-16,Product not as expected
28,582,2025-12-29,Changed mind
29,596,2025-08-04,Product not as expected
30,599,2025-06-04,Product not as expected
31,698,2025-12-02,Wrong item
32,739,2026-01-06,Product not as expected
33,749,2025-04-11,Size issue
34,756,2025-03-24,Wrong item
35,781,2025-11-09,Product not as expected
36,782,2025-12-10,Wrong item
37,792,2025-09-16,Size issue
38,808,2025-11-19,Product not as expected
39,815,2025-12-26,Wrong item
40,821,2025-02-08,Late delivery
41,825,2025-10-03,Size issue
42,837,2025-11-25,Damaged product
43,878,2026-01-13,Late delivery
44,886,2025-09-03,Changed mind
45,898,2025-05-25,Late delivery
46,906,2025-08-13,Size issue
47,907,2025-04-09,Wrong item
48,917,2025-08-04,Product not as expected
49,921,2025-09-18,Damaged product
50,934,2025-12-02,Product not as expected
51,947,2025-12-16,Damaged product
52,960,2025-07-04,Changed mind
53,989,2025-12-12,Changed mind
54,1003,2025-01-13,Size issue
55,1008,2025-01-26,Changed mind
56,1012,2025-11-25,Damaged product
57,1013,2025-10-26,Changed mind
58,1032,2025-09-10,Late delivery
59,1048,2025-03-24,Wrong item
60,1069,2025-02-26,Changed mind
61,1075,2025-12-16,Damaged product
62,1089,2025-12-27,Wrong item
63,1108,2025-06-17,Changed mind
64,1123,2025-12-20,Product not as expected
65,1143,2025-08-05,Product not as expected
66,1149,2025-05-31,Changed mind
67,1163,2025-10-23,Changed mind
68,1164,2025-12-27,Size issue
69,1198,2025-08-06,Product not as expected
70,1200,2025-10-05,Product not as expected
71,1208,2025-10-21,Damaged product
72,1211,2025-06-17,Damaged product
73,1221,2025-05-23,Damaged product
74,1241,2025-04-01,Product not as expected
75,1280,2025-08-02,Size issue
76,1285,2025-08-20,Wrong item
77,1289,2026-01-01,Damaged product
78,1343,2025-06-21,Wrong item
79,1347,2025-02-24,Late delivery
80,1356,2025-10-10,Size issue
81,1370,2025-02-12,Damaged product
82,1379,2025-07-26,Damaged product
83,1384,2025-11-06,Product not as expected
84,1391,2025-05-23,Late delivery
85,1396,2026-01-18,Size issue
86,1420,2026-01-03,Size issue
87,1441,2025-11-10,Late delivery
88,1443,2025-06-16,Changed mind
89,1454,2025-09-25,Late delivery
90,1474,2025-10-29,Product not as expected
91,1505,2025-06-01,Product not as expected
92,1523,2025-07-12,Late delivery
93,1541,2025-11-13,Late delivery
94,1545,2025-11-01,Product not as expected
95,1654,2025-05-14,Changed mind
96,1657,2025-06-20,Product not as expected
97,1715,2025-03-26,Size issue
98,1750,2025-12-11,Changed mind
99,1783,2025-03-25,Late delivery
100,1789,2025-06-23,Product not as expected
101,1790,2025-05-17,Product not as expected
102,1823,2025-08-30,Product not as expected
103,1839,2025-05-02,Damaged product
104,1852,2026-01-14,Product not as expected
105,1866,2025-02-07,Wrong item
106,1878,2025-09-29,Damaged product
107,1881,2025-11-01,Late delivery
108,1893,2025-05-12,Changed mind
109,1903,2025-12-13,Product not as expected
110,1906,2025-09-04,Late delivery
111,1934,2025-03-12,Late delivery
112,1940,2025-09-18,Late delivery
113,1946,2026-01-25,Damaged product
114,1949,2025-08-08,Wrong item
115,1974,2026-01-04,Product not as expected
116,1989,2025-01-20,Wrong item
117,2010,2025-03-17,Product not as expected
118,2020,2025-10-01,Changed mind
119,2030,2025-06-28,Damaged product
120,2063,2025-09-28,Damaged product
121,2074,2025-01-21,Product not as expected
122,2109,2025-09-14,Size issue
123,2124,2025-12-19,Size issue
124,2128,2025-10-02,Damaged product
125,2145,2026-01-03,Size issue
126,2161,2025-09-07,Wrong item
127,2175,2025-02-24,Changed mind
128,2178,2025-03-15,Wrong item
129,2183,2026-01-11,Changed mind
130,2225,2025-05-22,Damaged product
131,2249,2025-05-21,Wrong item
132,2254,2025-03-31,Wrong item
133,2264,2025-12-15,Damaged product
134,2304,2025-09-20,Product not as expected
135,2316,2025-02-01,Size issue
136,2335,2025-12-21,Changed mind
137,2357,2025-08-14,Product not as expected
138,2363,2025-12-14,Damaged product
139,2374,2025-08-18,Wrong item
140,2382,2025-04-03,Changed mind
141,2391,2025-05-09,Product not as expected
142,2405,2025-09-09,Size issue
143,2426,2025-06-09,Product not as expected
144,2465,2025-06-16,Damaged product
145,2471,2025-03-26,Product not as expected
146,2492,2025-05-31,Late delivery
147,2527,2025-09-07,Late delivery
148,2531,2025-11-18,Wrong item
149,2576,2025-11-17,Damaged product
150,2580,2025-11-24,Changed mind
151,2630,2025-04-24,Damaged product
152,2644,2025-10-24,Size issue
153,2659,2025-07-17,Product not as expected
154,2680,2025-05-03,Changed mind
155,2700,2025-02-21,Product not as expected
156,2708,2025-05-19,Wrong item
157,2713,2025-04-08,Size issue
158,2734,2025-01-11,Late delivery
159,2742,2025-12-06,Late delivery
160,2763,2025-05-30,Late delivery
161,2796,2025-03-26,Product not as expected
162,2801,2026-01-09,Damaged product
163,2839,2025-08-12,Late delivery
164,2860,2025-04-24,Late delivery
165,2864,2025-06-03,Late delivery
166,2898,2025-03-10,Wrong item
167,2925,2025-05-12,Late delivery
168,2930,2025-05-06,Damaged product
169,2940,2025-10-26,Late delivery
170,2948,2025-10-03,Damaged product
171,2983,2025-06-25,Wrong item
172,2991,2025-10-28,Product not as expected
173,620,2025-05-08,Damaged product
174,2897,2025-11-06,Product not as expected
175,632,2025-08-23,Product not as expected
176,482,2025-10-03,Size issue
177,910,2025-10-26,Late delivery
178,216,2025-05-11,Size issue
179,337,2025-07-02,Damaged product
180,876,2025-10-24,Late delivery
181,2142,2025-09-24,Damaged product
182,190,2025-10-29,Damaged product
183,1421,2025-11-20,Product not as expected
184,2922,2025-11-07,Product not as expected
185,1965,2025-04-03,Damaged product
186,3000,2025-08-03,Product not as expected
187,1558,2025-06-02,Damaged product
188,51,2025-02-12,Size issue
189,341,2025-10-22,Damaged product
190,2021,2025-07-13,Wrong item
191,1737,2025-06-28,Wrong item
192,1187,2025-05-07,Changed mind
193,286,2025-08-31,Changed mind
194,1382,2025-07-02,Size issue
195,2934,2025-02-23,Product not as expected
196,2829,2026-01-07,Wrong item
197,1430,2025-12-09,Changed mind
198,549,2025-04-25,Changed mind
199,2468,2025-12-05,Wrong item
200,607,2025-11-17,Size issue
201,737,2025-09-16,Late delivery
202,2956,2026-01-13,Changed mind
203,1795,2025-11-06,Wrong item
204,1778,2025-06-09,Size issue
205,192,2025-06-08,Product not as expected
206,1512,2025-02-11,Late delivery
207,82,2025-05-30,Late delivery
208,187,2025-09-17,Product not as expected
209,595,2025-03-27,Changed mind
210,1983,2025-01-26,Size issue
211,859,2025-03-21,Size issue
212,421,2025-08-04,Late delivery
213,1837,2025-02-27,Damaged product
214,1153,2025-10-22,Size issue
215,1729,2025-11-19,Changed mind
216,2799,2025-08-12,Changed mind
